,Unnamed: 0,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,latitude,longitude,Vectors,kmeans
0,0,09/17/1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2.0,1.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",38.8967386,-77.0724024,"[ -4.73490499   1.06201415   7.72277415  -9.20213377  -2.7593681
 -13.47720438   6.17067482  11.03250405  -2.36211674   7.01463026
  22.04079813  10.67773341   4.36738357  -5.93609671 -15.0310428 ]",4
2,2,08/06/1913,,"Victoria, British Columbia, Canada",Private,-,,Curtiss seaplane,,,1.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",48.4283182,-123.364953,"[-0.80619135  0.67064024  2.16899398 -1.6738472   0.22055361 -2.63413596
  0.21302709  1.2848683  -0.03099623  2.47068998  4.40924776  1.60497651
  1.33574307 -1.83855605 -3.46854925]",0
4,4,10/17/1913,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30.0,30.0,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",52.65296669928645,13.639009946546237,"[-4.40567255e-01  2.12428149e-01  2.97266951e-01 -1.16962841e+00
 -1.02572207e+00 -2.12626928e+00  1.35667560e+00  2.30194938e+00
 -6.37746654e-01 -1.50937900e-01  3.26169473e+00  2.17741093e+00
  3.08825076e-03 -7.93203644e-01 -1.85745573e+00]",0
5,5,03/05/1915,01:00,"Tienen, Belgium",Military - German Navy,,,Zeppelin L-8 (airship),,,41.0,21.0,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,50.80843175,4.946429213429422,"[-2.06568211 -0.89729753  2.85227025 -2.33845383 -1.29911906 -3.43828857
  4.88295621  3.80437189 -0.31938959  0.95383599  5.24824286  3.25433138
  1.91004153  0.73833032 -2.73893467]",0
6,6,09/03/1915,15:20,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19.0,19.0,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",54.02038603326941,9.201709642966788,"[-1.05632475 -0.51923203  1.20442469 -1.99887797 -0.56847871 -2.72535008
  2.80444258  2.25312388 -0.13147037  0.61098194  3.64971656  1.7433981
  0.9044659  -0.06502308 -2.14197943]",0
8,8,09/24/1916,01:00,"Billericay, England",Military - German Navy,,,Zeppelin L-32 (airship),,,22.0,22.0,0.0,Shot down by British aircraft crashing in flames.,51.6284395,0.4218142,"[-1.00984327 -0.15884597  0.94175056 -1.58606224 -1.08413734 -2.85861021
  2.64773721  2.57150227 -0.45092229  0.88251157  3.98479789  2.1121164
  1.06743188 -0.38596213 -2.40932691]",0
9,9,10/01/1916,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19.0,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.,51.6958889,-0.1848935,"[-0.56684402 -0.13381478  0.42192591 -0.59456067 -0.60940674 -1.62135458
  1.56620228  1.38204503 -0.16797309  0.51313253  2.06701916  1.10722297
  0.65020081 -0.01417442 -1.19507623]",0
10,10,11/21/1916,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),,,28.0,27.0,0.0,Crashed in a storm.,50.0012314,8.2762513,"[-0.36099219 -0.12196564  0.31121081 -0.3671734  -0.43911716 -0.83528769
  1.16132212  0.82949603 -0.15377326 -0.17531513  0.89570552  0.62581891
  0.1945186   0.42943582 -0.36688313]",0
11,11,11/28/1916,23:45,"Off West Hartlepool, England",Military - German Navy,,,Zeppelin L-34 (airship),,,20.0,20.0,0.0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,54.6910151,-1.2335364,"[-1.40797949 -0.19493934  1.58275582 -3.07670745 -1.90159542 -5.13213664
  4.42355365  4.88938731 -0.67176341  0.7768247   6.88461179  3.68501958
  1.39737463 -0.33178025 -4.31204745]",0
12,12,03/04/1917,,"Near Gent, Belgium",Military - German Army,,,Airship,,,20.0,20.0,0.0,Caught fire and crashed.,51.34471069251629,4.04774152154412,"[-0.27558351  0.09822029  0.17945234 -0.77016221 -1.23282009 -2.27707362
  2.25258529  2.88405663 -0.55643821 -0.52464601  3.21420234  2.13080114
  0.13205609  0.35090566 -1.75694314]",0
13,13,03/30/1917,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23.0,23.0,0.0,Struck by lightning and crashed into the BaltiSea.,15.00387905667352,121.0608462696187,"[-0.83207569 -0.15451772  0.77167532 -0.92257008 -0.57711238 -1.38594949
  1.99426484  1.58254009 -0.23501956 -0.35805103  1.71721375  1.30408388
  0.48046613  0.57196753 -0.66666427]",0
16,16,08/21/1917,07:00,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),,,18.0,18.0,0.0,Shot down by British aircraft.,-34.9650138,116.8322516,"[-0.35250627 -0.06375372  0.51628685 -0.89934567 -0.51148543 -1.41097325
  1.11096549  1.25037664 -0.17488097  0.45491572  1.97565114  1.07040036
  0.50215434 -0.41715311 -1.19644874]",0
